gene_id	logFC	species	host	treat
Bradi1g20540	-3.06550611053079	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g26391	3.0650297843905	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g05950	3.03659773315696	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g09007	-2.9843275722332696	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g21730	-2.9814357852983906	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g16917	-2.9598351311834596	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g46947	-2.9208681100549	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g05570	2.9180957834598305	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g55767	2.90620180564371	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g31530	-2.89896662696064	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g72381	2.8897430983816497	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g31050	-2.8129358709801204	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g47310	-2.8129358709801204	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g50250	2.80875432544841	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g50897	2.8042440649175697	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g09530	2.77715004728046	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g67820	-2.76981144757986	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g26802	2.76349950594734	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g10169	2.7559337102777497	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g23800	-2.75493252372907	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g37576	-2.7541375231312	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g35763	2.7352171500824	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g54340	-2.7162308302417704	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g21575	-2.7028289904300395	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g00550	-2.69266898417398	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g14740	2.6872614517027795	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g40022	-2.67808654270514	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g06970	2.67222924912872	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g18815	2.66553569890111	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g15230	2.6584956171379597	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g28089	2.65632673855302	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g45200	2.64717979465602	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g03410	-2.6369250731279905	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g68446	-2.6294493536978196	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g47307	2.6275768357157703	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g07010	2.6086243272826497	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g15730	-2.60585808225988	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g40710	2.5979448251354	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g16101	2.5949484479772797	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g26180	-2.5697295108864	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g02176	-2.55151294597347	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g15713	-2.54952418594038	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g36600	-2.5479623521462402	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g16151	2.53773369777314	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g15810	2.5373741250540895	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g16720	2.53555836861984	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g68927	2.5257105603434504	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g20020	-2.5140865308926803	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g14750	2.5117492329749598	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g37902	-2.5049680707874398	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g02210	2.49757532269201	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g19060	-2.49009478980666	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g36972	-2.4861941357562403	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g23100	2.48396874319885	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g23345	2.48338928399409	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g19670	2.4826147094052904	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g67020	2.4819247342077	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g24360	2.47780122097031	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g48197	2.47663106529911	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g45130	2.4758881108241098	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g47200	2.4686954316414	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g49810	-2.4386676946479104	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g73840	-2.43790503225105	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g60533	-2.4340087273247204	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g47427	2.4340040954888	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g38487	-2.4288491212803196	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g21870	2.42338260949129	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g10510	2.4215670295792995	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g43810	-2.4197235269203503	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g44190	2.41704607056956	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g13070	2.40532594420753	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g16280	2.40471972927312	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g07190	-2.39706287702821	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g20950	2.39636434184917	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g33360	2.37837018160882	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g57302	-2.37333671390642	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g51930	-2.35150195210526	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g28102	2.35063558820569	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g44913	2.34794102917833	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g10058	2.3478245798121202	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g10620	2.34719850640932	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g22240	-2.33638956993191	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g19010	-2.33548229241419	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g14273	2.32575130320742	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g46450	2.3206249154917002	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g28260	-2.31767696469864	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g27680	-2.31707493870049	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g20670	2.31017322431265	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g16620	2.30873402694996	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g12326	-2.3057805189963396	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g00300	-2.3029669535377	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g64125	-2.2972201843242903	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g42517	-2.29625595433851	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g03340	-2.2941561361655496	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g18930	-2.28990530733971	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g55270	2.28705869969369	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g04627	2.2818075966717797	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g50730	2.2799426611029503	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g11780	2.27392823518881	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g54817	-2.27061750467675	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g40490	2.26945440564997	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g41900	-2.2587203100188904	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g76570	-2.2587203100188904	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g28433	2.25680417351912	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g41750	-2.2489556377596402	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g60140	-2.2424866680579503	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g21466	-2.24009799069477	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g28870	2.23646433336174	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g18236	2.22714192991556	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g26603	2.22673305197401	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g74710	-2.2165316105664905	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g31572	-2.21281216917409	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g39950	2.21233716125736	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g15220	2.2121399543296403	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g48230	2.20830620752365	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g39667	2.20320862902252	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g72300	2.2001846630051403	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g60570	-2.19868218122943	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g12377	2.19862575887374	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g05195	2.19813426277879	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g00925	2.19747782618232	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g02490	2.19629361728797	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g35350	-2.1914419870075803	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g25700	2.18639267149567	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g59290	2.18319237141683	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g28320	2.18280954167945	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g20960	2.18242326822913	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g15592	2.18061433127964	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g18140	2.1804198253076597	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g24870	2.16907541436903	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g36506	2.16868200829065	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g23710	2.16533695592356	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g58746	2.15912891201821	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g24660	-2.1570307400825803	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g13231	2.1551592097496797	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g26840	2.1504637122284196	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g32702	-2.14946300139416	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g31280	-2.1321932215755	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g25597	-2.12971496138831	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g42560	-2.10057920641023	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g76217	2.07244028853638	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g38837	-2.07081250111676	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g14530	-2.0703718397185003	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g49560	-2.0693763409072803	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g45000	2.0652562013068603	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g09487	2.05840763912426	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g19980	-2.04693597386389	Bdistachyon	S.indica	TStreat-TSmock
Bradi3g02810	-2.04238174827099	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g09010	2.04081398933987	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g22073	2.0392312429038997	Bdistachyon	S.indica	TStreat-TSmock
Bradi5g12685	-2.03682469165441	Bdistachyon	S.indica	TStreat-TSmock
Bradi4g44496	2.03667376201945	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g61410	2.03293402524347	Bdistachyon	S.indica	TStreat-TSmock
Bradi2g22284	2.02897641079957	Bdistachyon	S.indica	TStreat-TSmock
Bradi1g26040	2.02351891283004	Bdistachyon	S.indica	TStreat-TSmock
