Orthogroup	pathogen_class_type	logFC
OG0006268	bacterium	3.82280607109814
OG0006269	bacterium	1.24124395728638
OG0006278	bacterium	2.95928148797704
OG0006308	bacterium	1.49033816226505
OG0006316	bacterium	1.40530929562793
OG0006321	bacterium	1.00990865869675
OG0006354	bacterium	2.67527398795565
OG0006384	bacterium	1.52050604638622
OG0006404	bacterium	1.0642223484738
OG0006441	bacterium	4.158518415214
OG0006483	bacterium	2.3240353745777
OG0006529	bacterium	1.30031374194577
OG0006539	bacterium	1.34707338746935
OG0006566	bacterium	7.72487004074742
OG0006574	bacterium	7.11221011643425
OG0006580	bacterium	4.47175746726856
OG0006653	bacterium	2.21535614016955
OG0006658	bacterium	1.71830978444844
OG0006677	bacterium	1.63245325716789
OG0006678	bacterium	1.48603936546808
OG0006708	bacterium	2.07509132517201
OG0006723	bacterium	1.93013899235997
OG0006813	bacterium	1.2940388826044
OG0006816	bacterium	1.14557981974631
OG0006865	bacterium	1.31644671277058
OG0006869	bacterium	3.43066716465318
OG0006874	bacterium	1.00083049181838
OG0006895	bacterium	1.21113420692657
OG0006903	bacterium	1.04231306996886
OG0006938	bacterium	1.16136589358752
OG0006958	bacterium	3.72258358026669
OG0006967	bacterium	1.58440891463223
OG0006977	bacterium	2.25433989429101
OG0006979	bacterium	1.06971925536884
OG0006993	bacterium	1.21809225611309
OG0007015	bacterium	3.61235451671811
OG0007019	bacterium	1.41350416990029
OG0007024	bacterium	1.09990048842337
OG0007031	bacterium	1.64044035089995
OG0007036	bacterium	4.22661775788659
OG0007055	bacterium	1.31633658752673
OG0007067	bacterium	2.65598862490461
OG0007072	bacterium	1.78123185279735
OG0007176	bacterium	4.10706261099565
OG0007201	bacterium	2.06870722528047
OG0007207	bacterium	4.14200352427071
OG0007252	bacterium	1.78817964576818
OG0007261	bacterium	2.8020723432432
OG0007272	bacterium	1.09756799498535
OG0007278	bacterium	2.01715706813587
OG0007282	bacterium	1.84123200378483
OG0007283	bacterium	2.30970408823161
OG0007340	bacterium	1.39913716405263
OG0007398	bacterium	2.1002489924904
OG0007433	bacterium	3.29165154700354
OG0007436	bacterium	1.27692078445064
OG0007458	bacterium	1.22414239590004
OG0007460	bacterium	1.07226933533763
OG0007462	bacterium	1.047149950088
OG0007474	bacterium	1.64290068306497
OG0007476	bacterium	1.04154431157425
OG0007581	bacterium	1.83689230383941
OG0007604	bacterium	1.82447733384261
OG0007616	bacterium	1.38688859643599
OG0007623	bacterium	1.75337493208088
OG0007628	bacterium	2.12040801172089
OG0007631	bacterium	2.60176969624797
OG0007632	bacterium	1.50238108374266
OG0007713	bacterium	1.24080675680385
OG0007722	bacterium	1.49329709168479
OG0007745	bacterium	2.77115148456458
OG0007798	bacterium	1.38453192224714
OG0007805	bacterium	1.06487496111103
OG0007825	bacterium	1.72172363315715
OG0007879	bacterium	1.39858102684726
OG0007881	bacterium	2.85574470089879
OG0007986	bacterium	2.32701550273945
OG0007987	bacterium	2.1352345027149
OG0007988	bacterium	1.36553322297566
OG0008006	bacterium	1.23959010228722
OG0008017	bacterium	1.29459960407353
OG0008076	bacterium	1.2828981380702
OG0008118	bacterium	2.2629591967628
OG0008127	bacterium	1.95592701840231
OG0008167	bacterium	3.18279539169488
OG0008170	bacterium	2.66880991187279
OG0008184	bacterium	1.59314979425515
OG0008191	bacterium	1.16229733908453
OG0008193	bacterium	1.07569922916878
OG0008211	bacterium	4.08311351387615
OG0008220	bacterium	1.02799671989885
OG0008233	bacterium	1.1509659582595
OG0008252	bacterium	1.36173225040024
OG0008267	bacterium	6.94662756442739
OG0008268	bacterium	1.39725127417379
