gene_id	logFC	species	host	treat
Medtr5g064550	-3.55962795208756	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr0684s0020	3.5566709137117796	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g471050	3.55057911325998	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g126150	3.53611579986224	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g031530	3.5108291835328704	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g106230	-3.4711238556769	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g011900	3.42243054950138	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g109600	-3.4223769141561	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g070550	3.4223729351398804	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g117000	3.3985966104567003	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g090460	-3.3852936360614403	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g033490	3.3719890836150004	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g106200	-3.3641822116539104	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g034345	-3.35721719092578	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g119270	3.3510771635153995	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g464580	-3.30432876024144	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g011890	-3.27968720834257	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g013440	3.25438620781053	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g099800	-3.23141851982061	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g090807	3.21983350176545	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g102570	3.20118416676069	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g023950	3.2001953952279503	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g014150	-3.1839349008445494	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g104730	-3.1596115368408597	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g020980	3.13145939460808	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g021725	-3.0577395988574905	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g087540	3.0247322930009704	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g016620	-2.96161566267152	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g075780	-2.92610674363229	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g102350	-2.9153582053619504	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g021010	2.91312475584908	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g112050	-2.90248752701455	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g107870	-2.8715764585954497	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g086390	-2.83962839674926	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g435490	2.83678082508731	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g076700	2.82905639493593	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g022420	2.82550017019462	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g103960	-2.81973048042338	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g101610	2.8177730461526798	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g088790	-2.8060766184494597	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g087425	2.8034198015314797	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g075400	2.7954799313141696	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g072190	-2.7765369171387406	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g073730	-2.77033738549389	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g012680	-2.7669813033398905	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g070310	-2.7405923549072795	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g041090	2.71467502493935	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g071360	-2.69612218011931	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g080990	2.6905891897115	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g076370	2.6796062526702698	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g034640	2.6789601211028398	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr0079s0070	2.6774450176102595	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g045470	-2.6770248006061	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g077890	2.66030375138581	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g103150	-2.64366836360279	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g067437	-2.6267648272989503	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g015860	2.62605384045436	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g438560	-2.62091856059489	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g115740	-2.6153582868704706	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g067510	-2.6074673942825095	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g437380	2.60043082642076	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g059670	-2.5990955560295497	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g124650	-2.59041288385944	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g084050	-2.5841880485860402	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g023570	-2.5769812326541697	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g027290	2.5721744171822003	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g074220	2.56560022625348	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g119790	2.56057774454649	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g022460	-2.5565046482424303	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g116440	2.55341463347295	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g038440	2.55018944355347	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g103795	2.54320926019322	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g085810	2.5422631818694703	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g092930	-2.5212427362219705	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g029380	-2.51404864938909	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g127140	2.5032779077636405	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g100667	2.49640968368035	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g094328	-2.4961801848270095	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g036085	2.49284166521889	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g094330	-2.48757292272009	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g015220	-2.4742105045233704	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g107630	-2.46245291003509	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g094332	-2.46236211017395	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g020540	2.44676623734602	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr0026s0210	-2.44606136377242	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g025000	-2.44573664617359	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g083920	2.44468449588818	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g089890	2.43735993703595	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g030835	-2.4372028086677004	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g091450	-2.4361104866754504	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g062500	-2.42957885247771	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g103260	2.4162169995008598	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g438070	-2.39948672116389	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr3g013500	-2.3930403957419304	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g078535	2.39063329761239	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g092970	2.37551824067646	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
