gene_id	logFC	species	host	treat
Ghir_D06G022800	5.47830526426474	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G001680	-5.4556657753446505	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A12G014900	5.4198992883318695	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G014140	5.33720542174252	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A02G001780	-5.28330705902124	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A01G000080	-5.1974575142772	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D02G024660	5.1294812498607	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D08G026930	-5.07193930235966	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G010900	-5.004708697982701	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A03G002480	4.99829258122141	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A12G024180	-4.99216159579306	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A10G008970	4.92669791842092	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A08G022560	-4.90834673153508	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A12G028630	4.90118625300404	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A06G021690	4.88844870735371	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A09G010240	4.87916982509587	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D07G002680	4.8520198382919695	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G006300	-4.841011277929111	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D13G025350	4.83118623262348	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A01G001650	4.8085923535985895	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A10G002990	-4.789375945323361	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G003720	4.70703662626442	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D11G017790	4.68817706406774	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A09G001930	4.655777790926769	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A03G017420	4.602781083253491	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D03G002880	4.58755485419166	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D03G019260	4.5632564489590095	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A10G024080	4.5584147065048795	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
